financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
2003-04,NT,Dental services,Government,10
2003-04,NT,Dental services,Non-government,41
2003-04,NT,Dental services,Non-government,0
2003-04,NT,Dental services,Non-government,4
2003-04,NT,Medical expense tax rebate,Government,1
2003-04,NT,Medical expense tax rebate,Non-government,-1
2003-04,NT,Medical services,Government,69
2003-04,NT,Medical services,Non-government,10
2003-04,NT,Medical services,Non-government,11
2003-04,NT,Medical services,Non-government,3
2003-04,NT,Other health practitioners,Government,6
2003-04,NT,Other health practitioners,Non-government,17
2003-04,NT,Other health practitioners,Non-government,4
2003-04,NT,Other health practitioners,Non-government,2
2003-04,NT,Patient transport services,Government,5
2003-04,NT,Patient transport services,Government,35
2003-04,NT,Patient transport services,Non-government,1
2003-04,NT,Patient transport services,Non-government,0
2003-04,NT,Patient transport services,Non-government,0
2003-04,NT,Private hospitals,Government,8
2003-04,NT,Private hospitals,Government,0
2003-04,NT,Private hospitals,Non-government,17
2003-04,NT,Private hospitals,Non-government,4
2003-04,NT,Private hospitals,Non-government,16
2003-04,NT,Public health,Government,18
2003-04,NT,Public health,Government,48
2003-04,NT,Public health,Non-government,0
2003-04,NT,Public health,Non-government,4
2003-04,NT,Public hospitals,Government,128
2003-04,NT,Public hospitals,Government,269
2003-04,NT,Public hospitals,Non-government,1
2003-04,NT,Public hospitals,Non-government,5
2003-04,NT,Public hospitals,Non-government,1
2003-04,NT,Research,Government,11
2003-04,NT,Research,Government,2
2003-04,NT,Research,Non-government,1
2004-05,NSW,Administration,Government,525
2004-05,NSW,Administration,Government,0
2004-05,NSW,Administration,Non-government,262
2004-05,NSW,Aids and appliances,Government,120
2004-05,NSW,Aids and appliances,Non-government,400
2004-05,NSW,Aids and appliances,Non-government,6
2004-05,NSW,Aids and appliances,Non-government,91
2004-05,NSW,All other medications,Government,54
2004-05,NSW,All other medications,Non-government,1243
2004-05,NSW,All other medications,Non-government,7
2004-05,NSW,All other medications,Non-government,25
2004-05,NSW,Benefit-paid pharmaceuticals,Government,2077
2004-05,NSW,Benefit-paid pharmaceuticals,Non-government,400
2004-05,NSW,Capital expenditure,Government,31
2004-05,NSW,Capital expenditure,Government,488
2004-05,NSW,Capital expenditure,Non-government,604
2004-05,NSW,Community health,Government,122
2004-05,NSW,Community health,Government,1158
2004-05,NSW,Community health,Non-government,72
2004-05,NSW,Community health,Non-government,8
2004-05,NSW,Community health,Non-government,0
2004-05,NSW,Dental services,Government,177
2004-05,NSW,Dental services,Government,175
2004-05,NSW,Dental services,Non-government,1408
2004-05,NSW,Dental services,Non-government,2
2004-05,NSW,Dental services,Non-government,336
2004-05,NSW,Medical expense tax rebate,Government,159
2004-05,NSW,Medical expense tax rebate,Non-government,-159
2004-05,NSW,Medical services,Government,4886
2004-05,NSW,Medical services,Non-government,718
2004-05,NSW,Medical services,Non-government,521
2004-05,NSW,Medical services,Non-government,206
2004-05,NSW,Other health practitioners,Government,270
2004-05,NSW,Other health practitioners,Non-government,613
2004-05,NSW,Other health practitioners,Non-government,122
2004-05,NSW,Other health practitioners,Non-government,160
2004-05,NSW,Patient transport services,Government,68
2004-05,NSW,Patient transport services,Government,338
2004-05,NSW,Patient transport services,Non-government,17
2004-05,NSW,Patient transport services,Non-government,32
2004-05,NSW,Patient transport services,Non-government,89
2004-05,NSW,Private hospitals,Government,780
2004-05,NSW,Private hospitals,Government,0
2004-05,NSW,Private hospitals,Non-government,64
2004-05,NSW,Private hospitals,Non-government,273
2004-05,NSW,Private hospitals,Non-government,1096
2004-05,NSW,Public health,Government,361
2004-05,NSW,Public health,Government,118
2004-05,NSW,Public health,Non-government,53
2004-05,NSW,Public health,Non-government,37
2004-05,NSW,Public hospitals,Government,4162
2004-05,NSW,Public hospitals,Government,5982
2004-05,NSW,Public hospitals,Non-government,127
2004-05,NSW,Public hospitals,Non-government,530
2004-05,NSW,Public hospitals,Non-government,255
2004-05,NSW,Research,Government,484
2004-05,NSW,Research,Government,80
2004-05,NSW,Research,Non-government,60
2004-05,VIC,Administration,Government,369
2004-05,VIC,Administration,Government,0
2004-05,VIC,Administration,Non-government,198
2004-05,VIC,Aids and appliances,Government,79
2004-05,VIC,Aids and appliances,Non-government,535
2004-05,VIC,Aids and appliances,Non-government,11
2004-05,VIC,Aids and appliances,Non-government,44
2004-05,VIC,All other medications,Government,36
2004-05,VIC,All other medications,Non-government,1065
2004-05,VIC,All other medications,Non-government,24
2004-05,VIC,All other medications,Non-government,6
2004-05,VIC,Benefit-paid pharmaceuticals,Government,1511
2004-05,VIC,Benefit-paid pharmaceuticals,Non-government,291
2004-05,VIC,Capital expenditure,Government,28
2004-05,VIC,Capital expenditure,Government,381
2004-05,VIC,Capital expenditure,Non-government,696
2004-05,VIC,Community health,Government,74
2004-05,VIC,Community health,Government,711
2004-05,VIC,Community health,Non-government,0
2004-05,VIC,Community health,Non-government,4
2004-05,VIC,Community health,Non-government,0
2004-05,VIC,Dental services,Government,87
2004-05,VIC,Dental services,Government,127
2004-05,VIC,Dental services,Non-government,1455
2004-05,VIC,Dental services,Non-government,3
2004-05,VIC,Dental services,Non-government,160
2004-05,VIC,Medical expense tax rebate,Government,92
2004-05,VIC,Medical expense tax rebate,Non-government,-92
2004-05,VIC,Medical services,Government,3402
2004-05,VIC,Medical services,Non-government,440
2004-05,VIC,Medical services,Non-government,165
2004-05,VIC,Medical services,Non-government,197
2004-05,VIC,Other health practitioners,Government,180
2004-05,VIC,Other health practitioners,Non-government,679
2004-05,VIC,Other health practitioners,Non-government,105
2004-05,VIC,Other health practitioners,Non-government,89
2004-05,VIC,Patient transport services,Government,35
2004-05,VIC,Patient transport services,Government,230
2004-05,VIC,Patient transport services,Non-government,112
2004-05,VIC,Patient transport services,Non-government,29
2004-05,VIC,Patient transport services,Non-government,5
2004-05,VIC,Private hospitals,Government,666
2004-05,VIC,Private hospitals,Government,0
2004-05,VIC,Private hospitals,Non-government,61
2004-05,VIC,Private hospitals,Non-government,194
2004-05,VIC,Private hospitals,Non-government,967
2004-05,VIC,Public health,Government,244
2004-05,VIC,Public health,Government,174
2004-05,VIC,Public health,Non-government,0
2004-05,VIC,Public health,Non-government,25
2004-05,VIC,Public hospitals,Government,2892
2004-05,VIC,Public hospitals,Government,3334
2004-05,VIC,Public hospitals,Non-government,102
2004-05,VIC,Public hospitals,Non-government,433
2004-05,VIC,Public hospitals,Non-government,106
2004-05,VIC,Research,Government,535
2004-05,VIC,Research,Government,119
2004-05,VIC,Research,Non-government,80
2004-05,QLD,Administration,Government,312
2004-05,QLD,Administration,Government,59
2004-05,QLD,Administration,Non-government,174
2004-05,QLD,Aids and appliances,Government,64
2004-05,QLD,Aids and appliances,Non-government,354
2004-05,QLD,Aids and appliances,Non-government,4
2004-05,QLD,Aids and appliances,Non-government,46
2004-05,QLD,All other medications,Government,33
2004-05,QLD,All other medications,Non-government,847
2004-05,QLD,All other medications,Non-government,7
2004-05,QLD,All other medications,Non-government,12
2004-05,QLD,Benefit-paid pharmaceuticals,Government,1150
2004-05,QLD,Benefit-paid pharmaceuticals,Non-government,222
2004-05,QLD,Capital expenditure,Government,20
2004-05,QLD,Capital expenditure,Government,399
2004-05,QLD,Capital expenditure,Non-government,724
2004-05,QLD,Community health,Government,101
2004-05,QLD,Community health,Government,766
2004-05,QLD,Community health,Non-government,42
2004-05,QLD,Community health,Non-government,44
2004-05,QLD,Community health,Non-government,0
2004-05,QLD,Dental services,Government,97
2004-05,QLD,Dental services,Government,156
2004-05,QLD,Dental services,Non-government,485
2004-05,QLD,Dental services,Non-government,1
2004-05,QLD,Dental services,Non-government,171
2004-05,QLD,Medical expense tax rebate,Government,63
2004-05,QLD,Medical expense tax rebate,Non-government,-63
2004-05,QLD,Medical services,Government,2692
2004-05,QLD,Medical services,Non-government,396
2004-05,QLD,Medical services,Non-government,81
2004-05,QLD,Medical services,Non-government,149
2004-05,QLD,Other health practitioners,Government,161
2004-05,QLD,Other health practitioners,Non-government,389
2004-05,QLD,Other health practitioners,Non-government,42
2004-05,QLD,Other health practitioners,Non-government,90
2004-05,QLD,Patient transport services,Government,47
2004-05,QLD,Patient transport services,Government,395
2004-05,QLD,Patient transport services,Non-government,7
2004-05,QLD,Patient transport services,Non-government,15
2004-05,QLD,Patient transport services,Non-government,0
2004-05,QLD,Private hospitals,Government,736
2004-05,QLD,Private hospitals,Government,35
2004-05,QLD,Private hospitals,Non-government,86
2004-05,QLD,Private hospitals,Non-government,109
2004-05,QLD,Private hospitals,Non-government,837
2004-05,QLD,Public health,Government,200
2004-05,QLD,Public health,Government,113
2004-05,QLD,Public health,Non-government,8
2004-05,QLD,Public health,Non-government,21
2004-05,QLD,Public hospitals,Government,2246
2004-05,QLD,Public hospitals,Government,2189
2004-05,QLD,Public hospitals,Non-government,31
2004-05,QLD,Public hospitals,Non-government,44
2004-05,QLD,Public hospitals,Non-government,41
2004-05,QLD,Research,Government,241
2004-05,QLD,Research,Government,34
2004-05,QLD,Research,Non-government,17
2004-05,WA,Administration,Government,158
2004-05,WA,Administration,Government,163
2004-05,WA,Administration,Non-government,81
2004-05,WA,Aids and appliances,Government,35
2004-05,WA,Aids and appliances,Non-government,315
2004-05,WA,Aids and appliances,Non-government,4
2004-05,WA,Aids and appliances,Non-government,29
2004-05,WA,All other medications,Government,15
2004-05,WA,All other medications,Non-government,353
2004-05,WA,All other medications,Non-government,11
2004-05,WA,All other medications,Non-government,4
2004-05,WA,Benefit-paid pharmaceuticals,Government,517
2004-05,WA,Benefit-paid pharmaceuticals,Non-government,108
2004-05,WA,Capital expenditure,Government,15
2004-05,WA,Capital expenditure,Government,196
2004-05,WA,Capital expenditure,Non-government,425
2004-05,WA,Community health,Government,92
2004-05,WA,Community health,Government,574
2004-05,WA,Community health,Non-government,12
2004-05,WA,Community health,Non-government,68
2004-05,WA,Community health,Non-government,0
2004-05,WA,Dental services,Government,55
2004-05,WA,Dental services,Government,61
2004-05,WA,Dental services,Non-government,431
2004-05,WA,Dental services,Non-government,3
2004-05,WA,Dental services,Non-government,107
2004-05,WA,Medical expense tax rebate,Government,28
2004-05,WA,Medical expense tax rebate,Non-government,-28
2004-05,WA,Medical services,Government,1274
2004-05,WA,Medical services,Non-government,179
2004-05,WA,Medical services,Non-government,99
2004-05,WA,Medical services,Non-government,80
2004-05,WA,Other health practitioners,Government,75
2004-05,WA,Other health practitioners,Non-government,64
2004-05,WA,Other health practitioners,Non-government,24
2004-05,WA,Other health practitioners,Non-government,50
2004-05,WA,Patient transport services,Government,23
2004-05,WA,Patient transport services,Government,66
2004-05,WA,Patient transport services,Non-government,54
2004-05,WA,Patient transport services,Non-government,6
2004-05,WA,Patient transport services,Non-government,15
2004-05,WA,Private hospitals,Government,306
2004-05,WA,Private hospitals,Government,216
2004-05,WA,Private hospitals,Non-government,31
2004-05,WA,Private hospitals,Non-government,64
2004-05,WA,Private hospitals,Non-government,424
2004-05,WA,Public health,Government,104
2004-05,WA,Public health,Government,77
2004-05,WA,Public health,Non-government,6
2004-05,WA,Public health,Non-government,9
2004-05,WA,Public hospitals,Government,1215
2004-05,WA,Public hospitals,Government,1333
2004-05,WA,Public hospitals,Non-government,70
2004-05,WA,Public hospitals,Non-government,34
2004-05,WA,Public hospitals,Non-government,31
2004-05,WA,Research,Government,171
2004-05,WA,Research,Government,26
2004-05,WA,Research,Non-government,15
2004-05,SA,Administration,Government,133
2004-05,SA,Administration,Government,265
2004-05,SA,Administration,Non-government,66
2004-05,SA,Aids and appliances,Government,30
2004-05,SA,Aids and appliances,Non-government,147
2004-05,SA,Aids and appliances,Non-government,7
2004-05,SA,Aids and appliances,Non-government,24
2004-05,SA,All other medications,Government,14
2004-05,SA,All other medications,Non-government,280
2004-05,SA,All other medications,Non-government,6
2004-05,SA,All other medications,Non-government,4
2004-05,SA,Benefit-paid pharmaceuticals,Government,499
2004-05,SA,Benefit-paid pharmaceuticals,Non-government,93
2004-05,SA,Capital expenditure,Government,15
2004-05,SA,Capital expenditure,Government,219
2004-05,SA,Capital expenditure,Non-government,213
2004-05,SA,Community health,Government,57
2004-05,SA,Community health,Government,360
2004-05,SA,Community health,Non-government,6
2004-05,SA,Community health,Non-government,90
2004-05,SA,Community health,Non-government,0
2004-05,SA,Dental services,Government,47
2004-05,SA,Dental services,Government,60
2004-05,SA,Dental services,Non-government,162
2004-05,SA,Dental services,Non-government,1
2004-05,SA,Dental services,Non-government,89
2004-05,SA,Medical expense tax rebate,Government,19
2004-05,SA,Medical expense tax rebate,Non-government,-19
2004-05,SA,Medical services,Government,1041
2004-05,SA,Medical services,Non-government,107
2004-05,SA,Medical services,Non-government,109
2004-05,SA,Medical services,Non-government,72
2004-05,SA,Other health practitioners,Government,69
2004-05,SA,Other health practitioners,Non-government,46
2004-05,SA,Other health practitioners,Non-government,40
2004-05,SA,Other health practitioners,Non-government,51
2004-05,SA,Patient transport services,Government,14
2004-05,SA,Patient transport services,Government,69
2004-05,SA,Patient transport services,Non-government,41
2004-05,SA,Patient transport services,Non-government,8
2004-05,SA,Patient transport services,Non-government,3
2004-05,SA,Private hospitals,Government,192
2004-05,SA,Private hospitals,Government,6
2004-05,SA,Private hospitals,Non-government,32
2004-05,SA,Private hospitals,Non-government,28
2004-05,SA,Private hospitals,Non-government,323
2004-05,SA,Public health,Government,88
2004-05,SA,Public health,Government,60
2004-05,SA,Public health,Non-government,4
2004-05,SA,Public health,Non-government,9
2004-05,SA,Public hospitals,Government,1023
2004-05,SA,Public hospitals,Government,1160
2004-05,SA,Public hospitals,Non-government,14
2004-05,SA,Public hospitals,Non-government,23
2004-05,SA,Public hospitals,Non-government,39
2004-05,SA,Research,Government,157
2004-05,SA,Research,Government,22
2004-05,SA,Research,Non-government,9
2004-05,TAS,Administration,Government,41
2004-05,TAS,Administration,Government,49
2004-05,TAS,Administration,Non-government,21
2004-05,TAS,Aids and appliances,Government,9
2004-05,TAS,Aids and appliances,Non-government,39
2004-05,TAS,Aids and appliances,Non-government,2
2004-05,TAS,Aids and appliances,Non-government,7
2004-05,TAS,All other medications,Government,7
2004-05,TAS,All other medications,Non-government,89
2004-05,TAS,All other medications,Non-government,1
2004-05,TAS,All other medications,Non-government,2
2004-05,TAS,Benefit-paid pharmaceuticals,Government,159
2004-05,TAS,Benefit-paid pharmaceuticals,Non-government,29
2004-05,TAS,Capital expenditure,Government,7
2004-05,TAS,Capital expenditure,Government,28
2004-05,TAS,Capital expenditure,Non-government,99
2004-05,TAS,Community health,Government,13
2004-05,TAS,Community health,Government,93
2004-05,TAS,Community health,Non-government,11
2004-05,TAS,Community health,Non-government,2
2004-05,TAS,Community health,Non-government,0
2004-05,TAS,Dental services,Government,10
2004-05,TAS,Dental services,Government,13
2004-05,TAS,Dental services,Non-government,60
2004-05,TAS,Dental services,Non-government,0
2004-05,TAS,Dental services,Non-government,19
2004-05,TAS,Medical expense tax rebate,Government,4
2004-05,TAS,Medical expense tax rebate,Non-government,-4
2004-05,TAS,Medical services,Government,312
2004-05,TAS,Medical services,Non-government,39
2004-05,TAS,Medical services,Non-government,16
2004-05,TAS,Medical services,Non-government,17
2004-05,TAS,Other health practitioners,Government,21
2004-05,TAS,Other health practitioners,Non-government,35
2004-05,TAS,Other health practitioners,Non-government,9
2004-05,TAS,Other health practitioners,Non-government,10
2004-05,TAS,Patient transport services,Government,3
2004-05,TAS,Patient transport services,Government,34
2004-05,TAS,Patient transport services,Non-government,0
2004-05,TAS,Patient transport services,Non-government,2
2004-05,TAS,Patient transport services,Non-government,0
2004-05,TAS,Private hospitals,Government,69
2004-05,TAS,Private hospitals,Government,28
2004-05,TAS,Private hospitals,Non-government,10
2004-05,TAS,Private hospitals,Non-government,6
2004-05,TAS,Private hospitals,Non-government,99
2004-05,TAS,Public health,Government,35
2004-05,TAS,Public health,Government,18
2004-05,TAS,Public health,Non-government,0
2004-05,TAS,Public health,Non-government,4
2004-05,TAS,Public hospitals,Government,272
2004-05,TAS,Public hospitals,Government,231
2004-05,TAS,Public hospitals,Non-government,1
2004-05,TAS,Public hospitals,Non-government,24
2004-05,TAS,Public hospitals,Non-government,12
2004-05,TAS,Research,Government,35
2004-05,TAS,Research,Government,7
2004-05,TAS,Research,Non-government,1
2004-05,ACT,Administration,Government,67
2004-05,ACT,Administration,Government,103
2004-05,ACT,Administration,Non-government,11
2004-05,ACT,Aids and appliances,Government,5
2004-05,ACT,Aids and appliances,Non-government,18
2004-05,ACT,Aids and appliances,Non-government,1
2004-05,ACT,Aids and appliances,Non-government,4
2004-05,ACT,All other medications,Government,3
2004-05,ACT,All other medications,Non-government,44
2004-05,ACT,All other medications,Non-government,1
2004-05,ACT,All other medications,Non-government,1
2004-05,ACT,Benefit-paid pharmaceuticals,Government,76
2004-05,ACT,Benefit-paid pharmaceuticals,Non-government,20
2004-05,ACT,Capital expenditure,Government,4
2004-05,ACT,Capital expenditure,Government,29
2004-05,ACT,Capital expenditure,Non-government,50
2004-05,ACT,Community health,Government,7
2004-05,ACT,Community health,Government,127
2004-05,ACT,Community health,Non-government,8
2004-05,ACT,Community health,Non-government,12
2004-05,ACT,Community health,Non-government,0
2004-05,ACT,Dental services,Government,9
2004-05,ACT,Dental services,Government,9
2004-05,ACT,Dental services,Non-government,72
2004-05,ACT,Dental services,Non-government,0
2004-05,ACT,Dental services,Non-government,18
2004-05,ACT,Medical expense tax rebate,Government,12
2004-05,ACT,Medical expense tax rebate,Non-government,-12
2004-05,ACT,Medical services,Government,214
2004-05,ACT,Medical services,Non-government,64
2004-05,ACT,Medical services,Non-government,12
2004-05,ACT,Medical services,Non-government,8
2004-05,ACT,Other health practitioners,Government,4
2004-05,ACT,Other health practitioners,Non-government,39
2004-05,ACT,Other health practitioners,Non-government,9
2004-05,ACT,Other health practitioners,Non-government,7
2004-05,ACT,Patient transport services,Government,4
2004-05,ACT,Patient transport services,Government,4
2004-05,ACT,Patient transport services,Non-government,0
2004-05,ACT,Patient transport services,Non-government,1
2004-05,ACT,Patient transport services,Non-government,9
2004-05,ACT,Private hospitals,Government,33
2004-05,ACT,Private hospitals,Government,0
2004-05,ACT,Private hospitals,Non-government,23
2004-05,ACT,Private hospitals,Non-government,8
2004-05,ACT,Private hospitals,Non-government,45
2004-05,ACT,Public health,Government,23
2004-05,ACT,Public health,Government,25
2004-05,ACT,Public health,Non-government,1
2004-05,ACT,Public health,Non-government,6
2004-05,ACT,Public hospitals,Government,163
2004-05,ACT,Public hospitals,Government,281
2004-05,ACT,Public hospitals,Non-government,10
2004-05,ACT,Public hospitals,Non-government,43
2004-05,ACT,Public hospitals,Non-government,7
2004-05,ACT,Research,Government,147
2004-05,ACT,Research,Government,16
2004-05,ACT,Research,Non-government,6
2004-05,NT,Administration,Government,21
2004-05,NT,Administration,Government,37
2004-05,NT,Administration,Non-government,1
2004-05,NT,Aids and appliances,Government,2
2004-05,NT,Aids and appliances,Non-government,12
2004-05,NT,Aids and appliances,Non-government,0
2004-05,NT,Aids and appliances,Non-government,2
2004-05,NT,All other medications,Government,4
2004-05,NT,All other medications,Non-government,22
2004-05,NT,All other medications,Non-government,0
2004-05,NT,All other medications,Non-government,0
2004-05,NT,Benefit-paid pharmaceuticals,Government,33
2004-05,NT,Benefit-paid pharmaceuticals,Non-government,6
2004-05,NT,Capital expenditure,Government,8
2004-05,NT,Capital expenditure,Government,10
2004-05,NT,Capital expenditure,Non-government,23
2004-05,NT,Community health,Government,74
2004-05,NT,Community health,Government,126
2004-05,NT,Community health,Non-government,2
2004-05,NT,Community health,Non-government,0
2004-05,NT,Community health,Non-government,0
2004-05,NT,Dental services,Government,2
2004-05,NT,Dental services,Government,11
2004-05,NT,Dental services,Non-government,44
2004-05,NT,Dental services,Non-government,0
2004-05,NT,Dental services,Non-government,4
2004-05,NT,Medical expense tax rebate,Government,1
2004-05,NT,Medical expense tax rebate,Non-government,-1
2004-05,NT,Medical services,Government,81
2004-05,NT,Medical services,Non-government,9
2004-05,NT,Medical services,Non-government,12
2004-05,NT,Medical services,Non-government,3
2004-05,NT,Other health practitioners,Government,5
2004-05,NT,Other health practitioners,Non-government,19
2004-05,NT,Other health practitioners,Non-government,3
2004-05,NT,Other health practitioners,Non-government,2
2004-05,NT,Patient transport services,Government,5
2004-05,NT,Patient transport services,Government,41
2004-05,NT,Patient transport services,Non-government,2
2004-05,NT,Patient transport services,Non-government,0
2004-05,NT,Patient transport services,Non-government,0
2004-05,NT,Private hospitals,Government,8
2004-05,NT,Private hospitals,Government,0
2004-05,NT,Private hospitals,Non-government,18
2004-05,NT,Private hospitals,Non-government,3
2004-05,NT,Private hospitals,Non-government,15
2004-05,NT,Public health,Government,24
2004-05,NT,Public health,Government,57
2004-05,NT,Public health,Non-government,0
2004-05,NT,Public health,Non-government,5
2004-05,NT,Public hospitals,Government,130
2004-05,NT,Public hospitals,Government,280
2004-05,NT,Public hospitals,Non-government,1
2004-05,NT,Public hospitals,Non-government,4
2004-05,NT,Public hospitals,Non-government,1
2004-05,NT,Research,Government,8
2004-05,NT,Research,Government,2
2004-05,NT,Research,Non-government,1
2005-06,NSW,Administration,Government,497
2005-06,NSW,Administration,Non-government,253
2005-06,NSW,Aids and appliances,Government,125
2005-06,NSW,Aids and appliances,Non-government,411
2005-06,NSW,Aids and appliances,Non-government,7
2005-06,NSW,Aids and appliances,Non-government,92
2005-06,NSW,All other medications,Government,34
2005-06,NSW,All other medications,Non-government,1278
2005-06,NSW,All other medications,Non-government,7
2005-06,NSW,All other medications,Non-government,23
2005-06,NSW,Benefit-paid pharmaceuticals,Government,2103
2005-06,NSW,Benefit-paid pharmaceuticals,Non-government,426
2005-06,NSW,Capital expenditure,Government,25
2005-06,NSW,Capital expenditure,Government,643
2005-06,NSW,Capital expenditure,Non-government,649
2005-06,NSW,Community health,Government,121
2005-06,NSW,Community health,Government,1333
2005-06,NSW,Community health,Non-government,114
2005-06,NSW,Community health,Non-government,6
2005-06,NSW,Community health,Non-government,0
2005-06,NSW,Dental services,Government,183
2005-06,NSW,Dental services,Government,156
2005-06,NSW,Dental services,Non-government,1381
2005-06,NSW,Dental services,Non-government,2
2005-06,NSW,Dental services,Non-government,331
2005-06,NSW,Medical expense tax rebate,Government,169
2005-06,NSW,Medical expense tax rebate,Non-government,-169
2005-06,NSW,Medical services,Government,4824
2005-06,NSW,Medical services,Non-government,722
2005-06,NSW,Medical services,Non-government,492
2005-06,NSW,Medical services,Non-government,208
2005-06,NSW,Other health practitioners,Government,277
2005-06,NSW,Other health practitioners,Non-government,640
2005-06,NSW,Other health practitioners,Non-government,109
2005-06,NSW,Other health practitioners,Non-government,165
2005-06,NSW,Patient transport services,Government,67
2005-06,NSW,Patient transport services,Government,361
2005-06,NSW,Patient transport services,Non-government,18
2005-06,NSW,Patient transport services,Non-government,32
2005-06,NSW,Patient transport services,Non-government,86
2005-06,NSW,Private hospitals,Government,775
2005-06,NSW,Private hospitals,Non-government,36
2005-06,NSW,Private hospitals,Non-government,262
2005-06,NSW,Private hospitals,Non-government,1076
2005-06,NSW,Public health,Government,303
2005-06,NSW,Public health,Government,162
2005-06,NSW,Public health,Non-government,39
2005-06,NSW,Public health,Non-government,34
2005-06,NSW,Public hospitals,Government,4125
2005-06,NSW,Public hospitals,Government,5919
2005-06,NSW,Public hospitals,Non-government,156
2005-06,NSW,Public hospitals,Non-government,414
2005-06,NSW,Public hospitals,Non-government,257
2005-06,NSW,Research,Government,567
2005-06,NSW,Research,Government,84
2005-06,NSW,Research,Non-government,65
2005-06,VIC,Administration,Government,349
2005-06,VIC,Administration,Non-government,215
2005-06,VIC,Aids and appliances,Government,83
2005-06,VIC,Aids and appliances,Non-government,559
2005-06,VIC,Aids and appliances,Non-government,12
2005-06,VIC,Aids and appliances,Non-government,46
2005-06,VIC,All other medications,Government,22
2005-06,VIC,All other medications,Non-government,1110
2005-06,VIC,All other medications,Non-government,26
2005-06,VIC,All other medications,Non-government,5
2005-06,VIC,Benefit-paid pharmaceuticals,Government,1541
2005-06,VIC,Benefit-paid pharmaceuticals,Non-government,316
2005-06,VIC,Capital expenditure,Government,23
2005-06,VIC,Capital expenditure,Government,612
2005-06,VIC,Capital expenditure,Non-government,682
2005-06,VIC,Community health,Government,68
2005-06,VIC,Community health,Government,744
2005-06,VIC,Community health,Non-government,3
2005-06,VIC,Community health,Non-government,0
2005-06,VIC,Dental services,Government,91
2005-06,VIC,Dental services,Government,139
2005-06,VIC,Dental services,Non-government,1453
2005-06,VIC,Dental services,Non-government,3
2005-06,VIC,Dental services,Non-government,163
2005-06,VIC,Medical expense tax rebate,Government,101
2005-06,VIC,Medical expense tax rebate,Non-government,-101
2005-06,VIC,Medical services,Government,3395
2005-06,VIC,Medical services,Non-government,441
2005-06,VIC,Medical services,Non-government,164
2005-06,VIC,Medical services,Non-government,206
2005-06,VIC,Other health practitioners,Government,187
2005-06,VIC,Other health practitioners,Non-government,705
2005-06,VIC,Other health practitioners,Non-government,97
2005-06,VIC,Other health practitioners,Non-government,93
2005-06,VIC,Patient transport services,Government,37
2005-06,VIC,Patient transport services,Government,244
2005-06,VIC,Patient transport services,Non-government,121
2005-06,VIC,Patient transport services,Non-government,26
2005-06,VIC,Patient transport services,Non-government,6
2005-06,VIC,Private hospitals,Government,690
2005-06,VIC,Private hospitals,Non-government,66
2005-06,VIC,Private hospitals,Non-government,155
2005-06,VIC,Private hospitals,Non-government,988
2005-06,VIC,Public health,Government,226
2005-06,VIC,Public health,Government,181
2005-06,VIC,Public health,Non-government,23
2005-06,VIC,Public hospitals,Government,2829
2005-06,VIC,Public hospitals,Government,3619
2005-06,VIC,Public hospitals,Non-government,123
2005-06,VIC,Public hospitals,Non-government,466
2005-06,VIC,Public hospitals,Non-government,118
2005-06,VIC,Research,Government,633
2005-06,VIC,Research,Government,138
2005-06,VIC,Research,Non-government,86
2005-06,QLD,Administration,Government,311
2005-06,QLD,Administration,Government,66
2005-06,QLD,Administration,Non-government,179
2005-06,QLD,Aids and appliances,Government,68
2005-06,QLD,Aids and appliances,Non-government,367
2005-06,QLD,Aids and appliances,Non-government,4
2005-06,QLD,Aids and appliances,Non-government,47
2005-06,QLD,All other medications,Government,22
2005-06,QLD,All other medications,Non-government,873
2005-06,QLD,All other medications,Non-government,7
2005-06,QLD,All other medications,Non-government,11
2005-06,QLD,Benefit-paid pharmaceuticals,Government,1167
2005-06,QLD,Benefit-paid pharmaceuticals,Non-government,238
2005-06,QLD,Capital expenditure,Government,16
2005-06,QLD,Capital expenditure,Government,460
2005-06,QLD,Capital expenditure,Non-government,616
2005-06,QLD,Community health,Government,105
2005-06,QLD,Community health,Government,865
2005-06,QLD,Community health,Non-government,50
2005-06,QLD,Community health,Non-government,2
2005-06,QLD,Community health,Non-government,0
2005-06,QLD,Dental services,Government,103
2005-06,QLD,Dental services,Government,154
2005-06,QLD,Dental services,Non-government,495
2005-06,QLD,Dental services,Non-government,1
2005-06,QLD,Dental services,Non-government,175
2005-06,QLD,Medical expense tax rebate,Government,69
2005-06,QLD,Medical expense tax rebate,Non-government,-69
2005-06,QLD,Medical services,Government,2761
2005-06,QLD,Medical services,Non-government,416
2005-06,QLD,Medical services,Non-government,89
2005-06,QLD,Medical services,Non-government,158
2005-06,QLD,Other health practitioners,Government,170
2005-06,QLD,Other health practitioners,Non-government,415
2005-06,QLD,Other health practitioners,Non-government,42
2005-06,QLD,Other health practitioners,Non-government,96
2005-06,QLD,Patient transport services,Government,42
2005-06,QLD,Patient transport services,Government,381
2005-06,QLD,Patient transport services,Non-government,7
2005-06,QLD,Patient transport services,Non-government,10
2005-06,QLD,Patient transport services,Non-government,0
2005-06,QLD,Private hospitals,Government,749
2005-06,QLD,Private hospitals,Government,35
2005-06,QLD,Private hospitals,Non-government,107
