financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
2004,WA,Medical expense tax rebate,Government,28
2004,WA,Medical expense tax rebate,Other,
2004,WA,Medical services,Government,1274
2004,WA,Medical services,Other,179
2004,WA,Medical services,Other,99
2004,WA,Medical services,Other,80
2004,WA,Other health practitioners,Government,75
2004,WA,Other health practitioners,Other,64
2004,WA,Other health practitioners,Other,24
2004,WA,Other health practitioners,Other,50
2004,WA,Patient transport services,Government,23
2004,WA,Patient transport services,Government,66
2004,WA,Patient transport services,Other,54
2004,WA,Patient transport services,Other,6
2004,WA,Patient transport services,Other,15
2004,WA,Private hospitals,Government,306
2004,WA,Private hospitals,Government,216
2004,WA,Private hospitals,Other,31
2004,WA,Private hospitals,Other,64
2004,WA,Private hospitals,Other,424
2004,WA,Public health,Government,104
2004,WA,Public health,Government,77
2004,WA,Public health,Other,6
2004,WA,Public health,Other,9
2004,WA,Public hospitals,Government,1215
2004,WA,Public hospitals,Government,1333
2004,WA,Public hospitals,Other,70
2004,WA,Public hospitals,Other,34
2004,WA,Public hospitals,Other,31
2004,WA,Research,Government,171
2004,WA,Research,Government,26
2004,WA,Research,Other,15
2004,SA,Administration,Government,133
2004,SA,Administration,Government,265
2004,SA,Administration,Other,66
2004,SA,Aids and appliances,Government,30
2004,SA,Aids and appliances,Other,147
2004,SA,Aids and appliances,Other,7
2004,SA,Aids and appliances,Other,24
2004,SA,All other medications,Government,14
2004,SA,All other medications,Other,280
2004,SA,All other medications,Other,6
2004,SA,All other medications,Other,4
2004,SA,Benefit,Government,499
2004,SA,Benefit,Other,93
2004,SA,Capital expenditure,Government,15
2004,SA,Capital expenditure,Government,219
2004,SA,Capital expenditure,Other,213
2004,SA,Community health,Government,57
2004,SA,Community health,Government,360
2004,SA,Community health,Other,6
2004,SA,Community health,Other,90
2004,SA,Community health,Other,0
2004,SA,Dental services,Government,47
2004,SA,Dental services,Government,60
2004,SA,Dental services,Other,162
2004,SA,Dental services,Other,1
2004,SA,Dental services,Other,89
2004,SA,Medical expense tax rebate,Government,19
2004,SA,Medical expense tax rebate,Other,
2004,SA,Medical services,Government,1041
2004,SA,Medical services,Other,107
2004,SA,Medical services,Other,109
2004,SA,Medical services,Other,72
2004,SA,Other health practitioners,Government,69
2004,SA,Other health practitioners,Other,46
2004,SA,Other health practitioners,Other,40
2004,SA,Other health practitioners,Other,51
2004,SA,Patient transport services,Government,14
2004,SA,Patient transport services,Government,69
2004,SA,Patient transport services,Other,41
2004,SA,Patient transport services,Other,8
2004,SA,Patient transport services,Other,3
2004,SA,Private hospitals,Government,192
2004,SA,Private hospitals,Government,6
2004,SA,Private hospitals,Other,32
2004,SA,Private hospitals,Other,28
2004,SA,Private hospitals,Other,323
2004,SA,Public health,Government,88
2004,SA,Public health,Government,60
2004,SA,Public health,Other,4
2004,SA,Public health,Other,9
2004,SA,Public hospitals,Government,1023
2004,SA,Public hospitals,Government,1160
2004,SA,Public hospitals,Other,14
2004,SA,Public hospitals,Other,23
2004,SA,Public hospitals,Other,39
2004,SA,Research,Government,157
2004,SA,Research,Government,22
2004,SA,Research,Other,9
2004,TAS,Administration,Government,41
2004,TAS,Administration,Government,49
2004,TAS,Administration,Other,21
2004,TAS,Aids and appliances,Government,9
2004,TAS,Aids and appliances,Other,39
2004,TAS,Aids and appliances,Other,2
2004,TAS,Aids and appliances,Other,7
2004,TAS,All other medications,Government,7
2004,TAS,All other medications,Other,89
2004,TAS,All other medications,Other,1
2004,TAS,All other medications,Other,2
2004,TAS,Benefit,Government,159
2004,TAS,Benefit,Other,29
2004,TAS,Capital expenditure,Government,7
2004,TAS,Capital expenditure,Government,28
2004,TAS,Capital expenditure,Other,99
2004,TAS,Community health,Government,13
2004,TAS,Community health,Government,93
2004,TAS,Community health,Other,11
2004,TAS,Community health,Other,2
2004,TAS,Community health,Other,0
2004,TAS,Dental services,Government,10
2004,TAS,Dental services,Government,13
2004,TAS,Dental services,Other,60
2004,TAS,Dental services,Other,0
2004,TAS,Dental services,Other,19
2004,TAS,Medical expense tax rebate,Government,4
2004,TAS,Medical expense tax rebate,Other,
2004,TAS,Medical services,Government,312
2004,TAS,Medical services,Other,39
2004,TAS,Medical services,Other,16
2004,TAS,Medical services,Other,17
2004,TAS,Other health practitioners,Government,21
2004,TAS,Other health practitioners,Other,35
2004,TAS,Other health practitioners,Other,9
2004,TAS,Other health practitioners,Other,10
2004,TAS,Patient transport services,Government,3
2004,TAS,Patient transport services,Government,34
2004,TAS,Patient transport services,Other,0
2004,TAS,Patient transport services,Other,2
2004,TAS,Patient transport services,Other,0
2004,TAS,Private hospitals,Government,69
2004,TAS,Private hospitals,Government,28
2004,TAS,Private hospitals,Other,10
2004,TAS,Private hospitals,Other,6
2004,TAS,Private hospitals,Other,99
2004,TAS,Public health,Government,35
2004,TAS,Public health,Government,18
2004,TAS,Public health,Other,0
2004,TAS,Public health,Other,4
2004,TAS,Public hospitals,Government,272
2004,TAS,Public hospitals,Government,231
2004,TAS,Public hospitals,Other,1
2004,TAS,Public hospitals,Other,24
2004,TAS,Public hospitals,Other,12
2004,TAS,Research,Government,35
2004,TAS,Research,Government,7
2004,TAS,Research,Other,1
2004,ACT,Administration,Government,67
2004,ACT,Administration,Government,103
2004,ACT,Administration,Other,11
2004,ACT,Aids and appliances,Government,5
2004,ACT,Aids and appliances,Other,18
2004,ACT,Aids and appliances,Other,1
2004,ACT,Aids and appliances,Other,4
2004,ACT,All other medications,Government,3
2004,ACT,All other medications,Other,44
2004,ACT,All other medications,Other,1
2004,ACT,All other medications,Other,1
2004,ACT,Benefit,Government,76
2004,ACT,Benefit,Other,20
2004,ACT,Capital expenditure,Government,4
2004,ACT,Capital expenditure,Government,29
2004,ACT,Capital expenditure,Other,50
2004,ACT,Community health,Government,7
2004,ACT,Community health,Government,127
2004,ACT,Community health,Other,8
2004,ACT,Community health,Other,12
2004,ACT,Community health,Other,0
2004,ACT,Dental services,Government,9
2004,ACT,Dental services,Government,9
2004,ACT,Dental services,Other,72
2004,ACT,Dental services,Other,0
2004,ACT,Dental services,Other,18
2004,ACT,Medical expense tax rebate,Government,12
2004,ACT,Medical expense tax rebate,Other,
2004,ACT,Medical services,Government,214
2004,ACT,Medical services,Other,64
2004,ACT,Medical services,Other,12
2004,ACT,Medical services,Other,8
2004,ACT,Other health practitioners,Government,4
2004,ACT,Other health practitioners,Other,39
2004,ACT,Other health practitioners,Other,9
2004,ACT,Other health practitioners,Other,7
2004,ACT,Patient transport services,Government,4
2004,ACT,Patient transport services,Government,4
2004,ACT,Patient transport services,Other,0
2004,ACT,Patient transport services,Other,1
2004,ACT,Patient transport services,Other,9
2004,ACT,Private hospitals,Government,33
2004,ACT,Private hospitals,Government,0
2004,ACT,Private hospitals,Other,23
2004,ACT,Private hospitals,Other,8
2004,ACT,Private hospitals,Other,45
2004,ACT,Public health,Government,23
2004,ACT,Public health,Government,25
2004,ACT,Public health,Other,1
2004,ACT,Public health,Other,6
2004,ACT,Public hospitals,Government,163
2004,ACT,Public hospitals,Government,281
2004,ACT,Public hospitals,Other,10
2004,ACT,Public hospitals,Other,43
2004,ACT,Public hospitals,Other,7
2004,ACT,Research,Government,147
2004,ACT,Research,Government,16
2004,ACT,Research,Other,6
2004,NT,Administration,Government,21
2004,NT,Administration,Government,37
2004,NT,Administration,Other,1
2004,NT,Aids and appliances,Government,2
2004,NT,Aids and appliances,Other,12
2004,NT,Aids and appliances,Other,0
2004,NT,Aids and appliances,Other,2
2004,NT,All other medications,Government,4
2004,NT,All other medications,Other,22
2004,NT,All other medications,Other,0
2004,NT,All other medications,Other,0
2004,NT,Benefit,Government,33
2004,NT,Benefit,Other,6
2004,NT,Capital expenditure,Government,8
2004,NT,Capital expenditure,Government,10
2004,NT,Capital expenditure,Other,23
2004,NT,Community health,Government,74
2004,NT,Community health,Government,126
2004,NT,Community health,Other,2
2004,NT,Community health,Other,0
2004,NT,Community health,Other,0
2004,NT,Dental services,Government,2
2004,NT,Dental services,Government,11
2004,NT,Dental services,Other,44
2004,NT,Dental services,Other,0
2004,NT,Dental services,Other,4
2004,NT,Medical expense tax rebate,Government,1
2004,NT,Medical expense tax rebate,Other,
2004,NT,Medical services,Government,81
2004,NT,Medical services,Other,9
2004,NT,Medical services,Other,12
2004,NT,Medical services,Other,3
2004,NT,Other health practitioners,Government,5
2004,NT,Other health practitioners,Other,19
2004,NT,Other health practitioners,Other,3
2004,NT,Other health practitioners,Other,2
2004,NT,Patient transport services,Government,5
2004,NT,Patient transport services,Government,41
2004,NT,Patient transport services,Other,2
2004,NT,Patient transport services,Other,0
2004,NT,Patient transport services,Other,0
2004,NT,Private hospitals,Government,8
2004,NT,Private hospitals,Government,0
2004,NT,Private hospitals,Other,18
2004,NT,Private hospitals,Other,3
2004,NT,Private hospitals,Other,15
2004,NT,Public health,Government,24
2004,NT,Public health,Government,57
2004,NT,Public health,Other,0
2004,NT,Public health,Other,5
2004,NT,Public hospitals,Government,130
2004,NT,Public hospitals,Government,280
2004,NT,Public hospitals,Other,1
2004,NT,Public hospitals,Other,4
2004,NT,Public hospitals,Other,1
2004,NT,Research,Government,8
2004,NT,Research,Government,2
2004,NT,Research,Other,1
2005,NSW,Administration,Government,497
2005,NSW,Administration,Other,253
2005,NSW,Aids and appliances,Government,125
2005,NSW,Aids and appliances,Other,411
2005,NSW,Aids and appliances,Other,7
2005,NSW,Aids and appliances,Other,92
2005,NSW,All other medications,Government,34
2005,NSW,All other medications,Other,1278
2005,NSW,All other medications,Other,7
2005,NSW,All other medications,Other,23
2005,NSW,Benefit,Government,2103
2005,NSW,Benefit,Other,426
2005,NSW,Capital expenditure,Government,25
2005,NSW,Capital expenditure,Government,643
2005,NSW,Capital expenditure,Other,649
2005,NSW,Community health,Government,121
2005,NSW,Community health,Government,1333
2005,NSW,Community health,Other,114
2005,NSW,Community health,Other,6
2005,NSW,Community health,Other,0
2005,NSW,Dental services,Government,183
2005,NSW,Dental services,Government,156
2005,NSW,Dental services,Other,1381
2005,NSW,Dental services,Other,2
2005,NSW,Dental services,Other,331
2005,NSW,Medical expense tax rebate,Government,169
2005,NSW,Medical expense tax rebate,Other,
2005,NSW,Medical services,Government,4824
2005,NSW,Medical services,Other,722
2005,NSW,Medical services,Other,492
2005,NSW,Medical services,Other,208
2005,NSW,Other health practitioners,Government,277
2005,NSW,Other health practitioners,Other,640
2005,NSW,Other health practitioners,Other,109
2005,NSW,Other health practitioners,Other,165
2005,NSW,Patient transport services,Government,67
2005,NSW,Patient transport services,Government,361
2005,NSW,Patient transport services,Other,18
2005,NSW,Patient transport services,Other,32
2005,NSW,Patient transport services,Other,86
2005,NSW,Private hospitals,Government,775
2005,NSW,Private hospitals,Other,36
2005,NSW,Private hospitals,Other,262
2005,NSW,Private hospitals,Other,1076
2005,NSW,Public health,Government,303
2005,NSW,Public health,Government,162
2005,NSW,Public health,Other,39
2005,NSW,Public health,Other,34
2005,NSW,Public hospitals,Government,4125
2005,NSW,Public hospitals,Government,5919
2005,NSW,Public hospitals,Other,156
2005,NSW,Public hospitals,Other,414
2005,NSW,Public hospitals,Other,257
2005,NSW,Research,Government,567
2005,NSW,Research,Government,84
2005,NSW,Research,Other,65
2005,VIC,Administration,Government,349
2005,VIC,Administration,Other,215
2005,VIC,Aids and appliances,Government,83
2005,VIC,Aids and appliances,Other,559
2005,VIC,Aids and appliances,Other,12
2005,VIC,Aids and appliances,Other,46
2005,VIC,All other medications,Government,22
2005,VIC,All other medications,Other,1110
2005,VIC,All other medications,Other,26
2005,VIC,All other medications,Other,5
2005,VIC,Benefit,Government,1541
2005,VIC,Benefit,Other,316
2005,VIC,Capital expenditure,Government,23
2005,VIC,Capital expenditure,Government,612
2005,VIC,Capital expenditure,Other,682
2005,VIC,Community health,Government,68
2005,VIC,Community health,Government,744
2005,VIC,Community health,Other,3
2005,VIC,Community health,Other,0
2005,VIC,Dental services,Government,91
2005,VIC,Dental services,Government,139
2005,VIC,Dental services,Other,1453
2005,VIC,Dental services,Other,3
2005,VIC,Dental services,Other,163
2005,VIC,Medical expense tax rebate,Government,101
2005,VIC,Medical expense tax rebate,Other,
2005,VIC,Medical services,Government,3395
2005,VIC,Medical services,Other,441
2005,VIC,Medical services,Other,164
2005,VIC,Medical services,Other,206
2005,VIC,Other health practitioners,Government,187
2005,VIC,Other health practitioners,Other,705
2005,VIC,Other health practitioners,Other,97
2005,VIC,Other health practitioners,Other,93
2005,VIC,Patient transport services,Government,37
2005,VIC,Patient transport services,Government,244
2005,VIC,Patient transport services,Other,121
2005,VIC,Patient transport services,Other,26
2005,VIC,Patient transport services,Other,6
2005,VIC,Private hospitals,Government,690
2005,VIC,Private hospitals,Other,66
2005,VIC,Private hospitals,Other,155
2005,VIC,Private hospitals,Other,988
2005,VIC,Public health,Government,226
2005,VIC,Public health,Government,181
2005,VIC,Public health,Other,23
2005,VIC,Public hospitals,Government,2829
2005,VIC,Public hospitals,Government,3619
2005,VIC,Public hospitals,Other,123
2005,VIC,Public hospitals,Other,466
2005,VIC,Public hospitals,Other,118
2005,VIC,Research,Government,633
2005,VIC,Research,Government,138
2005,VIC,Research,Other,86
2005,QLD,Administration,Government,311
2005,QLD,Administration,Government,66
2005,QLD,Administration,Other,179
2005,QLD,Aids and appliances,Government,68
2005,QLD,Aids and appliances,Other,367
2005,QLD,Aids and appliances,Other,4
2005,QLD,Aids and appliances,Other,47
2005,QLD,All other medications,Government,22
2005,QLD,All other medications,Other,873
2005,QLD,All other medications,Other,7
2005,QLD,All other medications,Other,11
2005,QLD,Benefit,Government,1167
2005,QLD,Benefit,Other,238
2005,QLD,Capital expenditure,Government,16
2005,QLD,Capital expenditure,Government,460
2005,QLD,Capital expenditure,Other,616
2005,QLD,Community health,Government,105
2005,QLD,Community health,Government,865
2005,QLD,Community health,Other,50
2005,QLD,Community health,Other,2
2005,QLD,Community health,Other,0
2005,QLD,Dental services,Government,103
2005,QLD,Dental services,Government,154
2005,QLD,Dental services,Other,495
2005,QLD,Dental services,Other,1
2005,QLD,Dental services,Other,175
2005,QLD,Medical expense tax rebate,Government,69
2005,QLD,Medical expense tax rebate,Other,
2005,QLD,Medical services,Government,2761
2005,QLD,Medical services,Other,416
2005,QLD,Medical services,Other,89
2005,QLD,Medical services,Other,158
2005,QLD,Other health practitioners,Government,170
2005,QLD,Other health practitioners,Other,415
2005,QLD,Other health practitioners,Other,42
2005,QLD,Other health practitioners,Other,96
2005,QLD,Patient transport services,Government,42
2005,QLD,Patient transport services,Government,381
2005,QLD,Patient transport services,Other,7
2005,QLD,Patient transport services,Other,10
2005,QLD,Patient transport services,Other,0
2005,QLD,Private hospitals,Government,749
2005,QLD,Private hospitals,Government,35
2005,QLD,Private hospitals,Other,107
2005,QLD,Private hospitals,Other,163
2005,QLD,Private hospitals,Other,848
2005,QLD,Public health,Government,182
2005,QLD,Public health,Government,140
2005,QLD,Public health,Other,9
2005,QLD,Public health,Other,20
2005,QLD,Public hospitals,Government,2256
2005,QLD,Public hospitals,Government,2800
2005,QLD,Public hospitals,Other,25
2005,QLD,Public hospitals,Other,117
2005,QLD,Public hospitals,Other,36
2005,QLD,Research,Government,271
2005,QLD,Research,Government,41
2005,QLD,Research,Other,23
2005,WA,Administration,Government,160
2005,WA,Administration,Government,166
2005,WA,Administration,Other,85
2005,WA,Aids and appliances,Government,36
2005,WA,Aids and appliances,Other,335
2005,WA,Aids and appliances,Other,4
2005,WA,Aids and appliances,Other,29
2005,WA,All other medications,Government,11
2005,WA,All other medications,Other,376
2005,WA,All other medications,Other,12
2005,WA,All other medications,Other,4
2005,WA,Benefit,Government,526
2005,WA,Benefit,Other,117
2005,WA,Capital expenditure,Government,12
2005,WA,Capital expenditure,Government,161
2005,WA,Capital expenditure,Other,569
2005,WA,Community health,Government,85
2005,WA,Community health,Government,437
2005,WA,Community health,Other,16
2005,WA,Community health,Other,53
2005,WA,Community health,Other,0
2005,WA,Dental services,Government,59
2005,WA,Dental services,Government,59
2005,WA,Dental services,Other,437
2005,WA,Dental services,Other,3
2005,WA,Dental services,Other,109
2005,WA,Medical expense tax rebate,Government,32
2005,WA,Medical expense tax rebate,Other,
2005,WA,Medical services,Government,1268
2005,WA,Medical services,Other,188
2005,WA,Medical services,Other,94
2005,WA,Medical services,Other,84
2005,WA,Other health practitioners,Government,78
2005,WA,Other health practitioners,Other,66
2005,WA,Other health practitioners,Other,23
2005,WA,Other health practitioners,Other,50
2005,WA,Patient transport services,Government,20
2005,WA,Patient transport services,Government,69
2005,WA,Patient transport services,Other,57
2005,WA,Patient transport services,Other,7
2005,WA,Patient transport services,Other,10
2005,WA,Private hospitals,Government,302
2005,WA,Private hospitals,Government,246
2005,WA,Private hospitals,Other,46
2005,WA,Private hospitals,Other,71
2005,WA,Private hospitals,Other,418
2005,WA,Public health,Government,91
2005,WA,Public health,Government,92
2005,WA,Public health,Other,7
2005,WA,Public health,Other,9
2005,WA,Public hospitals,Government,1170
2005,WA,Public hospitals,Government,1459
2005,WA,Public hospitals,Other,94
2005,WA,Public hospitals,Other,43
2005,WA,Public hospitals,Other,36
2005,WA,Research,Government,184
2005,WA,Research,Government,29
2005,WA,Research,Other,16
2005,SA,Administration,Government,128
2005,SA,Administration,Government,234
2005,SA,Administration,Other,68
2005,SA,Aids and appliances,Government,31
2005,SA,Aids and appliances,Other,151
2005,SA,Aids and appliances,Other,8
2005,SA,Aids and appliances,Other,24
2005,SA,All other medications,Government,10
2005,SA,All other medications,Other,286
2005,SA,All other medications,Other,6
2005,SA,All other medications,Other,4
2005,SA,Benefit,Government,516
2005,SA,Benefit,Other,101
2005,SA,Capital expenditure,Government,12
2005,SA,Capital expenditure,Government,159
2005,SA,Capital expenditure,Other,87
2005,SA,Community health,Government,57
2005,SA,Community health,Government,355
2005,SA,Community health,Other,21
2005,SA,Community health,Other,95
2005,SA,Community health,Other,0
2005,SA,Dental services,Government,49
2005,SA,Dental services,Government,57
2005,SA,Dental services,Other,164
2005,SA,Dental services,Other,1
2005,SA,Dental services,Other,88
2005,SA,Medical expense tax rebate,Government,21
2005,SA,Medical expense tax rebate,Other,
2005,SA,Medical services,Government,1043
2005,SA,Medical services,Other,108
2005,SA,Medical services,Other,118
2005,SA,Medical services,Other,72
2005,SA,Other health practitioners,Government,71
2005,SA,Other health practitioners,Other,47
2005,SA,Other health practitioners,Other,39
2005,SA,Other health practitioners,Other,52
2005,SA,Patient transport services,Government,13
2005,SA,Patient transport services,Government,68
2005,SA,Patient transport services,Other,41
2005,SA,Patient transport services,Other,9
2005,SA,Patient transport services,Other,4
2005,SA,Private hospitals,Government,198
2005,SA,Private hospitals,Government,4
2005,SA,Private hospitals,Other,36
2005,SA,Private hospitals,Other,34
2005,SA,Private hospitals,Other,322
2005,SA,Public health,Government,73
2005,SA,Public health,Government,67
2005,SA,Public health,Other,8
2005,SA,Public hospitals,Government,1032
2005,SA,Public hospitals,Government,1230
2005,SA,Public hospitals,Other,3
2005,SA,Public hospitals,Other,39
2005,SA,Public hospitals,Other,38
2005,SA,Research,Government,174
2005,SA,Research,Government,24
2005,SA,Research,Other,9
2005,TAS,Administration,Government,47
2005,TAS,Administration,Government,48
2005,TAS,Administration,Other,23
2005,TAS,Aids and appliances,Government,9
2005,TAS,Aids and appliances,Other,43
2005,TAS,Aids and appliances,Other,2
2005,TAS,Aids and appliances,Other,7
2005,TAS,All other medications,Government,5
2005,TAS,All other medications,Other,94
2005,TAS,All other medications,Other,2
2005,TAS,All other medications,Other,2
2005,TAS,Benefit,Government,165
2005,TAS,Benefit,Other,32
2005,TAS,Capital expenditure,Government,5
2005,TAS,Capital expenditure,Government,38
2005,TAS,Capital expenditure,Other,172
2005,TAS,Community health,Government,13
2005,TAS,Community health,Government,86
2005,TAS,Community health,Other,7
2005,TAS,Community health,Other,0
2005,TAS,Community health,Other,0
2005,TAS,Dental services,Government,10
2005,TAS,Dental services,Government,15
2005,TAS,Dental services,Other,61
2005,TAS,Dental services,Other,0
2005,TAS,Dental services,Other,19
2005,TAS,Medical expense tax rebate,Government,5
2005,TAS,Medical expense tax rebate,Other,
2005,TAS,Medical services,Government,309
2005,TAS,Medical services,Other,38
2005,TAS,Medical services,Other,15
2005,TAS,Medical services,Other,18
2005,TAS,Other health practitioners,Government,22
2005,TAS,Other health practitioners,Other,38
2005,TAS,Other health practitioners,Other,9
2005,TAS,Other health practitioners,Other,11
2005,TAS,Patient transport services,Government,4
2005,TAS,Patient transport services,Government,17
2005,TAS,Patient transport services,Other,0
2005,TAS,Patient transport services,Other,2
2005,TAS,Patient transport services,Other,0
2005,TAS,Private hospitals,Government,68
2005,TAS,Private hospitals,Government,12
2005,TAS,Private hospitals,Other,6
2005,TAS,Private hospitals,Other,13
2005,TAS,Private hospitals,Other,99
2005,TAS,Public health,Government,32
2005,TAS,Public health,Government,21
2005,TAS,Public health,Other,3
2005,TAS,Public hospitals,Government,272
2005,TAS,Public hospitals,Government,322
2005,TAS,Public hospitals,Other,7
2005,TAS,Public hospitals,Other,27
2005,TAS,Public hospitals,Other,12
2005,TAS,Research,Government,39
2005,TAS,Research,Government,8
2005,TAS,Research,Other,1
2005,ACT,Administration,Government,65
2005,ACT,Administration,Government,37
2005,ACT,Administration,Other,11
2005,ACT,Aids and appliances,Government,5
2005,ACT,Aids and appliances,Other,18
2005,ACT,Aids and appliances,Other,1
2005,ACT,Aids and appliances,Other,4
2005,ACT,All other medications,Government,2
2005,ACT,All other medications,Other,44
2005,ACT,All other medications,Other,2
2005,ACT,All other medications,Other,1
2005,ACT,Benefit,Government,77
2005,ACT,Benefit,Other,21
2005,ACT,Capital expenditure,Government,3
2005,ACT,Capital expenditure,Government,36
2005,ACT,Capital expenditure,Other,75
2005,ACT,Community health,Government,7
2005,ACT,Community health,Government,126
2005,ACT,Community health,Other,11
2005,ACT,Community health,Other,10
2005,ACT,Community health,Other,0
2005,ACT,Dental services,Government,10
2005,ACT,Dental services,Government,9
2005,ACT,Dental services,Other,71
2005,ACT,Dental services,Other,0
2005,ACT,Dental services,Other,18
2005,ACT,Medical expense tax rebate,Government,13
2005,ACT,Medical expense tax rebate,Other,
2005,ACT,Medical services,Government,211
2005,ACT,Medical services,Other,67
2005,ACT,Medical services,Other,10
2005,ACT,Medical services,Other,8
2005,ACT,Other health practitioners,Government,12
2005,ACT,Other health practitioners,Other,41
2005,ACT,Other health practitioners,Other,9
2005,ACT,Other health practitioners,Other,7
2005,ACT,Patient transport services,Government,4
2005,ACT,Patient transport services,Government,6
2005,ACT,Patient transport services,Other,0
2005,ACT,Patient transport services,Other,1
2005,ACT,Patient transport services,Other,9
2005,ACT,Private hospitals,Government,33
2005,ACT,Private hospitals,Government,0
2005,ACT,Private hospitals,Other,13
2005,ACT,Private hospitals,Other,8
2005,ACT,Private hospitals,Other,44
2005,ACT,Public health,Government,20
2005,ACT,Public health,Government,23
2005,ACT,Public health,Other,2
2005,ACT,Public health,Other,5
2005,ACT,Public hospitals,Government,162
2005,ACT,Public hospitals,Government,384
2005,ACT,Public hospitals,Other,5
2005,ACT,Public hospitals,Other,43
2005,ACT,Public hospitals,Other,7
2005,ACT,Research,Government,142
2005,ACT,Research,Government,16
2005,ACT,Research,Other,5
2005,NT,Administration,Government,47
2005,NT,Administration,Other,1
2005,NT,Aids and appliances,Government,3
2005,NT,Aids and appliances,Other,13
2005,NT,Aids and appliances,Other,0
2005,NT,Aids and appliances,Other,2
2005,NT,All other medications,Government,4
2005,NT,All other medications,Other,21
2005,NT,All other medications,Other,0
2005,NT,All other medications,Other,0
2005,NT,Benefit,Government,35
2005,NT,Benefit,Other,6
2005,NT,Capital expenditure,Government,6
2005,NT,Capital expenditure,Government,9
2005,NT,Capital expenditure,Other,52
2005,NT,Community health,Government,77
2005,NT,Community health,Government,141
2005,NT,Community health,Other,0
2005,NT,Community health,Other,0
2005,NT,Community health,Other,0
2005,NT,Dental services,Government,2
2005,NT,Dental services,Government,12
2005,NT,Dental services,Other,45
2005,NT,Dental services,Other,0
2005,NT,Dental services,Other,4
2005,NT,Medical expense tax rebate,Government,1
2005,NT,Medical expense tax rebate,Other,
2005,NT,Medical services,Government,79
2005,NT,Medical services,Government,0
2005,NT,Medical services,Other,9
2005,NT,Medical services,Other,9
2005,NT,Medical services,Other,3
2005,NT,Other health practitioners,Government,5
2005,NT,Other health practitioners,Other,21
2005,NT,Other health practitioners,Other,4
2005,NT,Other health practitioners,Other,2
2005,NT,Patient transport services,Government,5
2005,NT,Patient transport services,Government,37
2005,NT,Patient transport services,Other,2
2005,NT,Patient transport services,Other,0
2005,NT,Patient transport services,Other,0
2005,NT,Private hospitals,Government,9
2005,NT,Private hospitals,Government,0
2005,NT,Private hospitals,Other,29
2005,NT,Private hospitals,Other,3
2005,NT,Private hospitals,Other,16
2005,NT,Public health,Government,21
2005,NT,Public health,Government,55
2005,NT,Public health,Other,2
2005,NT,Public health,Other,5
2005,NT,Public hospitals,Government,158
2005,NT,Public hospitals,Government,314
2005,NT,Public hospitals,Other,6
2005,NT,Public hospitals,Other,10
2005,NT,Public hospitals,Other,1
2005,NT,Research,Government,8
2005,NT,Research,Government,1
2005,NT,Research,Other,1
2006,NSW,Administration,Government,460
2006,NSW,Administration,Other,279
2006,NSW,Aids and appliances,Government,131
2006,NSW,Aids and appliances,Other,427
2006,NSW,Aids and appliances,Other,9
2006,NSW,Aids and appliances,Other,100
2006,NSW,All other medications,Government,95
2006,NSW,All other medications,Other,1430
2006,NSW,All other medications,Other,9
2006,NSW,All other medications,Other,21
2006,NSW,Benefit,Government,2159
2006,NSW,Benefit,Other,440
2006,NSW,Capital expenditure,Government,28
2006,NSW,Capital expenditure,Government,518
2006,NSW,Capital expenditure,Other,941
2006,NSW,Community health,Government,123
2006,NSW,Community health,Government,1431
2006,NSW,Community health,Other,95
2006,NSW,Community health,Other,7
2006,NSW,Community health,Other,0
2006,NSW,Dental services,Government,189
2006,NSW,Dental services,Government,150
2006,NSW,Dental services,Other,1376
2006,NSW,Dental services,Other,2
2006,NSW,Dental services,Other,344
2006,NSW,Medical expense tax rebate,Government,173
2006,NSW,Medical expense tax rebate,Other,
2006,NSW,Medical services,Government,5031
2006,NSW,Medical services,Other,793
2006,NSW,Medical services,Other,527
2006,NSW,Medical services,Other,225
2006,NSW,Other health practitioners,Government,323
2006,NSW,Other health practitioners,Other,646
2006,NSW,Other health practitioners,Other,114
2006,NSW,Other health practitioners,Other,175
2006,NSW,Patient transport services,Government,81
2006,NSW,Patient transport services,Government,383
2006,NSW,Patient transport services,Other,35
2006,NSW,Patient transport services,Other,25
2006,NSW,Patient transport services,Other,93
2006,NSW,Private hospitals,Government,788
2006,NSW,Private hospitals,Other,127
2006,NSW,Private hospitals,Other,241
2006,NSW,Private hospitals,Other,1136
2006,NSW,Public health,Government,366
2006,NSW,Public health,Government,180
2006,NSW,Public health,Other,12
2006,NSW,Public health,Other,37
2006,NSW,Public hospitals,Government,4152
2006,NSW,Public hospitals,Government,6065
2006,NSW,Public hospitals,Other,121
2006,NSW,Public hospitals,Other,520
2006,NSW,Public hospitals,Other,282
2006,NSW,Research,Government,632
2006,NSW,Research,Government,104
2006,NSW,Research,Other,71
2006,VIC,Administration,Government,348
2006,VIC,Administration,Other,224
2006,VIC,Aids and appliances,Government,87
2006,VIC,Aids and appliances,Other,581
2006,VIC,Aids and appliances,Other,12
2006,VIC,Aids and appliances,Other,50
2006,VIC,All other medications,Government,64
2006,VIC,All other medications,Other,1263
2006,VIC,All other medications,Other,27
2006,VIC,All other medications,Other,5
2006,VIC,Benefit,Government,1573
2006,VIC,Benefit,Other,321
2006,VIC,Capital expenditure,Government,25
2006,VIC,Capital expenditure,Government,786
2006,VIC,Capital expenditure,Other,623
